day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,108,"Potato Chips (Regular), 10oz bag",0,2,1,
2,74,"Potato Chips (Regular), 10oz bag",0,2,1,
3,119,"Potato Chips (Regular), 10oz bag",0,2,1,
4,124,"Potato Chips (Regular), 10oz bag",0,2,1,
5,51,"Potato Chips (Regular), 10oz bag",0,2,1,
6,67,"Potato Chips (Regular), 10oz bag",0,2,1,
7,103,"Potato Chips (Regular), 10oz bag",0,2,1,
8,92,"Potato Chips (Regular), 10oz bag",0,2,1,
9,100,"Potato Chips (Regular), 10oz bag",0,2,1,
10,79,"Potato Chips (Regular), 10oz bag",0,2,1,
11,122,"Potato Chips (Regular), 10oz bag",0,2,1,
12,119,"Potato Chips (Regular), 10oz bag",0,2,1,
13,102,"Potato Chips (Regular), 10oz bag",0,2,1,
14,128,"Potato Chips (Regular), 10oz bag",0,2,1,
15,112,"Potato Chips (Regular), 10oz bag",0,2,1,
16,170,"Potato Chips (Regular), 10oz bag",0,2,1,
17,213,"Potato Chips (Regular), 10oz bag",0,2,1,
18,166,"Potato Chips (Regular), 10oz bag",0,2,1,
19,231,"Potato Chips (Regular), 10oz bag",0,2,1,
20,198,"Potato Chips (Regular), 10oz bag",0,2,1,
21,193,"Potato Chips (Regular), 10oz bag",0,2,1,
22,176,"Potato Chips (Regular), 10oz bag",0,2,1,
23,243,"Potato Chips (Regular), 10oz bag",0,2,1,
24,195,"Potato Chips (Regular), 10oz bag",0,2,1,
25,185,"Potato Chips (Regular), 10oz bag",0,2,1,
26,188,"Potato Chips (Regular), 10oz bag",0,2,1,
27,219,"Potato Chips (Regular), 10oz bag",0,2,1,
28,213,"Potato Chips (Regular), 10oz bag",0,2,1,
29,215,"Potato Chips (Regular), 10oz bag",0,2,1,
30,215,"Potato Chips (Regular), 10oz bag",0,2,1,
31,276,"Potato Chips (Regular), 10oz bag",0,2,1,
32,186,"Potato Chips (Regular), 10oz bag",0,2,1,
33,182,"Potato Chips (Regular), 10oz bag",0,2,1,
34,171,"Potato Chips (Regular), 10oz bag",0,2,1,
35,222,"Potato Chips (Regular), 10oz bag",0,2,1,
36,240,"Potato Chips (Regular), 10oz bag",0,2,1,
37,196,"Potato Chips (Regular), 10oz bag",0,2,1,
38,170,"Potato Chips (Regular), 10oz bag",0,2,1,
39,171,"Potato Chips (Regular), 10oz bag",0,2,1,
40,223,"Potato Chips (Regular), 10oz bag",0,2,1,
41,226,"Potato Chips (Regular), 10oz bag",0,2,1,
42,219,"Potato Chips (Regular), 10oz bag",0,2,1,
43,176,"Potato Chips (Regular), 10oz bag",0,2,1,
44,208,"Potato Chips (Regular), 10oz bag",0,2,1,
45,204,"Potato Chips (Regular), 10oz bag",0,2,1,
46,208,"Potato Chips (Regular), 10oz bag",0,2,1,
47,231,"Potato Chips (Regular), 10oz bag",0,2,1,
48,208,"Potato Chips (Regular), 10oz bag",0,2,1,
49,224,"Potato Chips (Regular), 10oz bag",0,2,1,
50,202,"Potato Chips (Regular), 10oz bag",0,2,1,
