day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,108,"Potato Chips (Regular), 10oz bag",3,2,1,
2,74,"Potato Chips (Regular), 10oz bag",7,2,1,
3,119,"Potato Chips (Regular), 10oz bag",3,2,1,
4,124,"Potato Chips (Regular), 10oz bag",5,2,1,
5,51,"Potato Chips (Regular), 10oz bag",2,2,1,
6,67,"Potato Chips (Regular), 10oz bag",4,2,1,
7,103,"Potato Chips (Regular), 10oz bag",2,2,1,
8,92,"Potato Chips (Regular), 10oz bag",3,2,1,
9,100,"Potato Chips (Regular), 10oz bag",6,2,1,
10,79,"Potato Chips (Regular), 10oz bag",1,2,1,
11,122,"Potato Chips (Regular), 10oz bag",5,2,1,
12,119,"Potato Chips (Regular), 10oz bag",4,2,1,
13,102,"Potato Chips (Regular), 10oz bag",3,2,1,
14,128,"Potato Chips (Regular), 10oz bag",1,2,1,
15,112,"Potato Chips (Regular), 10oz bag",4,2,1,
16,79,"Potato Chips (Regular), 10oz bag",4,2,1,
17,109,"Potato Chips (Regular), 10oz bag",7,2,1,
18,76,"Potato Chips (Regular), 10oz bag",6,2,1,
19,122,"Potato Chips (Regular), 10oz bag",11,2,1,
20,99,"Potato Chips (Regular), 10oz bag",5,2,1,
21,95,"Potato Chips (Regular), 10oz bag",3,2,1,
22,83,"Potato Chips (Regular), 10oz bag",7,2,1,
23,131,"Potato Chips (Regular), 10oz bag",7,2,1,
24,96,"Potato Chips (Regular), 10oz bag",10,2,1,
25,89,"Potato Chips (Regular), 10oz bag",9,2,1,
26,91,"Potato Chips (Regular), 10oz bag",7,2,1,
27,113,"Potato Chips (Regular), 10oz bag",10,2,1,
28,109,"Potato Chips (Regular), 10oz bag",2,2,1,
29,110,"Potato Chips (Regular), 10oz bag",4,2,1,
30,111,"Potato Chips (Regular), 10oz bag",3,2,1,
31,154,"Potato Chips (Regular), 10oz bag",5,2,1,
32,90,"Potato Chips (Regular), 10oz bag",2,2,1,
33,87,"Potato Chips (Regular), 10oz bag",8,2,1,
34,80,"Potato Chips (Regular), 10oz bag",5,2,1,
35,115,"Potato Chips (Regular), 10oz bag",2,2,1,
36,128,"Potato Chips (Regular), 10oz bag",3,2,1,
37,97,"Potato Chips (Regular), 10oz bag",7,2,1,
38,79,"Potato Chips (Regular), 10oz bag",9,2,1,
39,79,"Potato Chips (Regular), 10oz bag",12,2,1,
40,116,"Potato Chips (Regular), 10oz bag",15,2,1,
41,119,"Potato Chips (Regular), 10oz bag",7,2,1,
42,114,"Potato Chips (Regular), 10oz bag",3,2,1,
43,83,"Potato Chips (Regular), 10oz bag",0,2,1,
44,106,"Potato Chips (Regular), 10oz bag",7,2,1,
45,103,"Potato Chips (Regular), 10oz bag",4,2,1,
46,105,"Potato Chips (Regular), 10oz bag",5,2,1,
47,122,"Potato Chips (Regular), 10oz bag",4,2,1,
48,106,"Potato Chips (Regular), 10oz bag",6,2,1,
49,117,"Potato Chips (Regular), 10oz bag",9,2,1,
50,102,"Potato Chips (Regular), 10oz bag",6,2,1,
