day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,107,"Potato Chips (Regular), 10oz bag",0,4,1,
2,116,"Potato Chips (Regular), 10oz bag",0,4,1,
3,64,"Potato Chips (Regular), 10oz bag",0,4,1,
4,92,"Potato Chips (Regular), 10oz bag",0,4,1,
5,88,"Potato Chips (Regular), 10oz bag",0,4,1,
6,84,"Potato Chips (Regular), 10oz bag",0,4,1,
7,93,"Potato Chips (Regular), 10oz bag",0,4,1,
8,137,"Potato Chips (Regular), 10oz bag",0,4,1,
9,78,"Potato Chips (Regular), 10oz bag",0,4,1,
10,124,"Potato Chips (Regular), 10oz bag",0,4,1,
11,58,"Potato Chips (Regular), 10oz bag",0,4,1,
12,92,"Potato Chips (Regular), 10oz bag",0,4,1,
13,104,"Potato Chips (Regular), 10oz bag",0,4,1,
14,115,"Potato Chips (Regular), 10oz bag",0,4,1,
15,118,"Potato Chips (Regular), 10oz bag",0,4,1,
16,61,"Potato Chips (Regular), 10oz bag",0,4,1,
17,6,"Potato Chips (Regular), 10oz bag",0,4,1,
18,87,"Potato Chips (Regular), 10oz bag",0,4,1,
19,43,"Potato Chips (Regular), 10oz bag",0,4,1,
20,82,"Potato Chips (Regular), 10oz bag",0,4,1,
21,171,"Potato Chips (Regular), 10oz bag",0,4,1,
22,47,"Potato Chips (Regular), 10oz bag",0,4,1,
23,12,"Potato Chips (Regular), 10oz bag",0,4,1,
24,56,"Potato Chips (Regular), 10oz bag",0,4,1,
25,59,"Potato Chips (Regular), 10oz bag",0,4,1,
26,132,"Potato Chips (Regular), 10oz bag",0,4,1,
27,111,"Potato Chips (Regular), 10oz bag",0,4,1,
28,157,"Potato Chips (Regular), 10oz bag",0,4,1,
29,133,"Potato Chips (Regular), 10oz bag",0,4,1,
30,81,"Potato Chips (Regular), 10oz bag",0,4,1,
31,163,"Potato Chips (Regular), 10oz bag",0,4,1,
32,33,"Potato Chips (Regular), 10oz bag",0,4,1,
33,5,"Potato Chips (Regular), 10oz bag",0,4,1,
34,18,"Potato Chips (Regular), 10oz bag",0,4,1,
35,144,"Potato Chips (Regular), 10oz bag",0,4,1,
36,92,"Potato Chips (Regular), 10oz bag",0,4,1,
37,32,"Potato Chips (Regular), 10oz bag",0,4,1,
38,100,"Potato Chips (Regular), 10oz bag",0,4,1,
39,30,"Potato Chips (Regular), 10oz bag",0,4,1,
40,139,"Potato Chips (Regular), 10oz bag",0,4,1,
41,89,"Potato Chips (Regular), 10oz bag",0,4,1,
42,76,"Potato Chips (Regular), 10oz bag",0,4,1,
43,60,"Potato Chips (Regular), 10oz bag",0,4,1,
44,126,"Potato Chips (Regular), 10oz bag",0,4,1,
45,72,"Potato Chips (Regular), 10oz bag",0,4,1,
46,18,"Potato Chips (Regular), 10oz bag",0,4,1,
47,24,"Potato Chips (Regular), 10oz bag",0,4,1,
48,192,"Potato Chips (Regular), 10oz bag",0,4,1,
49,182,"Potato Chips (Regular), 10oz bag",0,4,1,
50,140,"Potato Chips (Regular), 10oz bag",0,4,1,
