exact_dates_instance8,demand_instance8,description_instance8,lead_time_instance8,profit_instance8,holding_cost_instance8
1,84,"""Potato Chips (Regular), 10oz bag""",2,2,1
2,96,"""Potato Chips (Regular), 11oz bag""",inf,2,1
3,142,"""Potato Chips (Regular), 12oz bag""",2,2,1
4,116,"""Potato Chips (Regular), 13oz bag""",0,2,1
5,59,"""Potato Chips (Regular), 14oz bag""",1,2,1
6,100,"""Potato Chips (Regular), 15oz bag""",1,2,1
7,84,"""Potato Chips (Regular), 16oz bag""",2,2,1
8,104,"""Potato Chips (Regular), 17oz bag""",inf,2,1
9,60,"""Potato Chips (Regular), 18oz bag""",1,2,1
10,106,"""Potato Chips (Regular), 19oz bag""",0,2,1
11,106,"""Potato Chips (Regular), 20oz bag""",2,2,1
12,139,"""Potato Chips (Regular), 21oz bag""",2,2,1
13,108,"""Potato Chips (Regular), 22oz bag""",inf,2,1
14,113,"""Potato Chips (Regular), 23oz bag""",2,2,1
15,63,"""Potato Chips (Regular), 24oz bag""",1,2,1
16,156,"""Potato Chips (Regular), 25oz bag""",inf,2,1
17,52,"""Potato Chips (Regular), 26oz bag""",1,2,1
18,128,"""Potato Chips (Regular), 27oz bag""",2,2,1
19,92,"""Potato Chips (Regular), 28oz bag""",1,2,1
20,78,"""Potato Chips (Regular), 29oz bag""",0,2,1
